,r2_unlab
0,0.6607980153188499
1,0.648812064028228
2,0.752056588347688
3,0.8141404821872811
4,0.4651182260814629
5,0.6296050395855908
6,0.5863081937002281
7,0.7736949173024518
8,0.6421595621582592
9,0.5699710028593941
10,0.561193856283688
11,0.7560093000318548
12,0.5973810088956508
13,0.7616158205590262
14,0.6679805489283197
15,0.6452785014154239
16,0.6186413376856741
17,0.5676324614520583
18,0.6587957657198189
19,0.6267368180819969
20,0.6837601886415619
21,0.6684360120388627
22,0.6383969104860807
23,0.41082502061265214
24,0.5995089266347233
25,0.6846920274235622
26,0.6631469724476162
27,0.684727835259106
28,0.7376430412614676
29,0.6978260419441531
30,0.6997902761426942
31,0.6936816483441859
32,0.7673704600231543
33,0.7106861425983817
34,0.720929188977214
35,0.5684432293038435
36,0.6093251506027244
37,0.6265579063945523
38,0.845501279723892
39,0.696575940494919
40,0.6662372359346878
41,0.6820622901303921
42,0.713626793677947
43,0.6206951765432798
44,0.6786794774429058
45,0.5839477358139407
46,0.6616290183219402
47,0.6695772381278422
48,0.4179511030435348
49,0.6412263581863078
50,0.7208407761750235
51,0.6256976068190665
52,0.7059754388875186
53,0.5890634936974102
54,0.6638944257801713
55,0.6886196189863805
56,0.6168974533925042
57,0.5938146298419555
58,0.7146795470128244
59,0.706525144268813
60,0.4274509046151438
61,0.6089355385522368
62,0.6360880182353132
63,0.7519577660641117
64,0.689922256366633
65,0.655654310048505
66,0.6989934122518309
67,0.6583160473441476
68,0.6835021505924896
69,0.6655582546406242
70,0.6914464328167609
71,0.4756098425108227
72,0.7645274063085581
73,0.6809301145706931
74,0.48500422486181494
75,0.7553632741945094
76,0.6773353234441715
77,0.6010383492199112
78,0.7126865315782843
79,0.7063929272950475
80,0.6286386502535881
81,0.3808678273799929
82,0.5826035506781494
83,0.7569308576519138
84,0.6126722359397334
85,0.5909030202487884
86,0.6439796992106323
87,0.6315143469131921
88,0.6293147656241145
89,0.7001990618147356
90,0.40774420468280226
91,0.7274682007223536
92,0.4660020649179991
93,0.7084207981172735
94,0.6868112552765164
95,0.6644859976020622
96,0.7217756190463998
97,0.603222160634934
98,0.6908265501140329
99,0.6499370917798113
